name,ticker,image_link
Duke Energy,DUK,https://companiesmarketcap.com/img/company-logos/64/DUK.webp
Vertex Pharmaceuticals,VRTX,https://companiesmarketcap.com/img/company-logos/64/VRTX.webp
Petrobras,PBR,https://companiesmarketcap.com/img/company-logos/64/PBR.webp
Zoetis,ZTS,https://companiesmarketcap.com/img/company-logos/64/ZTS.webp
U.S. Bancorp,USB,https://companiesmarketcap.com/img/company-logos/64/USB.webp
GlaxoSmithKline,GSK,https://companiesmarketcap.com/img/company-logos/64/GSK.webp
Hindustan Unilever,HINDUNILVR.NS,https://companiesmarketcap.com/img/company-logos/64/HINDUNILVR.NS.webp
SABIC,2010.SR,https://companiesmarketcap.com/img/company-logos/64/2010.SR.webp
Canadian Pacific Railway,CP,https://companiesmarketcap.com/img/company-logos/64/CP.webp
Fiserv,FISV,https://companiesmarketcap.com/img/company-logos/64/FISV.webp
Airbnb,ABNB,https://companiesmarketcap.com/img/company-logos/64/ABNB.webp
Illinois Tool Works,ITW,https://companiesmarketcap.com/img/company-logos/64/ITW.webp
HCA Healthcare,HCA,https://companiesmarketcap.com/img/company-logos/64/HCA.webp
Southern Company,SO,https://companiesmarketcap.com/img/company-logos/64/SO.webp
CNOOC,0883.HK,https://companiesmarketcap.com/img/company-logos/64/0883.HK.webp
ICICI Bank,IBN,https://companiesmarketcap.com/img/company-logos/64/IBN.webp
AXA,CS.PA,https://companiesmarketcap.com/img/company-logos/64/CS.PA.webp
Bank Central Asia,BBCA.JK,https://companiesmarketcap.com/img/company-logos/64/BBCA.JK.webp
China Yangtze Power,600900.SS,https://companiesmarketcap.com/img/company-logos/64/600900.SS.webp
Bank of Montreal,BMO,https://companiesmarketcap.com/img/company-logos/64/BMO.webp
Northrop Grumman,NOC,https://companiesmarketcap.com/img/company-logos/64/NOC.webp
Iberdrola,IBE.MC,https://companiesmarketcap.com/img/company-logos/64/IBE.MC.webp
Becton Dickinson,BDX,https://companiesmarketcap.com/img/company-logos/64/BDX.webp
BMW,BMW.DE,https://companiesmarketcap.com/img/company-logos/64/BMW.DE.webp
Blackstone Group,BX,https://companiesmarketcap.com/img/company-logos/64/BX.webp
Zurich Insurance Group,ZURN.SW,https://companiesmarketcap.com/img/company-logos/64/ZURN.SW.webp
Eaton,ETN,https://companiesmarketcap.com/img/company-logos/64/ETN.webp
National Australia Bank,NAB.AX,https://companiesmarketcap.com/img/company-logos/64/NAB.AX.webp
Lam Research,LRCX,https://companiesmarketcap.com/img/company-logos/64/LRCX.webp
Equinix,EQIX,https://companiesmarketcap.com/img/company-logos/64/EQIX.webp
DBS Group,D05.SI,https://companiesmarketcap.com/img/company-logos/64/D05.SI.webp
Boston Scientific,BSX,https://companiesmarketcap.com/img/company-logos/64/BSX.webp
UBS,UBS,https://companiesmarketcap.com/img/company-logos/64/UBS.webp
KDDI,9433.T,https://companiesmarketcap.com/img/company-logos/64/9433.T.webp
Canadian Natural Resources,CNQ,https://companiesmarketcap.com/img/company-logos/64/CNQ.webp
Vinci,DG.PA,https://companiesmarketcap.com/img/company-logos/64/DG.PA.webp
Uber,UBER,https://companiesmarketcap.com/img/company-logos/64/UBER.webp
CME Group,CME,https://companiesmarketcap.com/img/company-logos/64/CME.webp
CSX Corporation,CSX,https://companiesmarketcap.com/img/company-logos/64/CSX.webp
KKR & Co.,KKR,https://companiesmarketcap.com/img/company-logos/64/KKR.webp
Scotiabank,BNS,https://companiesmarketcap.com/img/company-logos/64/BNS.webp
Aon,AON,https://companiesmarketcap.com/img/company-logos/64/AON.webp
Moderna,MRNA,https://companiesmarketcap.com/img/company-logos/64/MRNA.webp
SoftBank,9984.T,https://companiesmarketcap.com/img/company-logos/64/9984.T.webp
Micron Technology,MU,https://companiesmarketcap.com/img/company-logos/64/MU.webp
Walmex,WMMVF,https://companiesmarketcap.com/img/company-logos/64/WMMVF.webp
Alpha Dhabi,ALPHADHABI.AE,https://companiesmarketcap.com/img/company-logos/64/ALPHADHABI.AE.webp
Truist Financial,TFC,https://companiesmarketcap.com/img/company-logos/64/TFC.webp
China Telecom,0728.HK,https://companiesmarketcap.com/img/company-logos/64/0728.HK.webp
